iter	Logloss
0	0.6713407166
1	0.6500198172
2	0.630804217
3	0.6145379643
4	0.6001583023
5	0.5867783714
6	0.5744682677
7	0.5640777204
8	0.5551702981
9	0.546933597
10	0.5400771542
11	0.5337021493
12	0.5274907691
13	0.5220913716
14	0.5176230073
15	0.5132581242
16	0.5093332456
17	0.5059785395
18	0.5025003853
19	0.4993044072
20	0.4964247843
21	0.494312782
22	0.4918366078
23	0.4900973978
24	0.4880972094
25	0.4860745522
26	0.4843074049
27	0.4828297818
28	0.4814401898
29	0.4803685834
30	0.4792533531
31	0.4783378348
32	0.4773116476
33	0.4763805666
34	0.4756223737
35	0.4747337539
36	0.4739238152
37	0.4730238287
38	0.4721369242
39	0.4713535349
40	0.4707122543
41	0.4701397142
42	0.4696415781
43	0.4689770159
44	0.4683696707
45	0.4681314948
46	0.4676640035
47	0.4672502928
48	0.4669650207
49	0.4665138962
50	0.4660391025
51	0.4655418595
52	0.4651935087
53	0.4647239835
54	0.4644029508
55	0.4640835902
56	0.4637338041
57	0.4633932889
58	0.4629404515
59	0.4626041284
60	0.4623776539
61	0.4622581079
62	0.4618825149
63	0.4617245206
64	0.461377333
65	0.4611253422
66	0.4607686177
67	0.4605115586
68	0.4602969907
69	0.4601190357
70	0.4598162627
71	0.4595843802
72	0.4594163823
73	0.459110229
74	0.4589806697
75	0.4587351207
76	0.4584031482
77	0.458226658
78	0.4579795059
79	0.4577505532
80	0.4576094852
81	0.4574278214
82	0.4572252667
83	0.4570671457
84	0.4569282177
85	0.4567372723
86	0.4565407993
87	0.4564509534
88	0.4562744177
89	0.4560461109
90	0.4559063695
91	0.4557905579
92	0.4556062016
93	0.4554983094
94	0.4553834607
95	0.4552004673
96	0.4550938935
97	0.4549034929
98	0.4547725844
99	0.4546486153
100	0.4545064215
101	0.4543996794
102	0.4542961696
103	0.4541753031
104	0.4540067476
105	0.4539249968
106	0.4538275591
107	0.4537825221
108	0.4535862146
109	0.4535335546
110	0.4534255007
111	0.4533473272
112	0.4531955322
113	0.4529996322
114	0.4527128028
115	0.4526253025
116	0.4525430304
117	0.4524775379
118	0.4523588615
119	0.4522364704
120	0.4521291039
121	0.4520906296
122	0.4519783565
123	0.4518751988
124	0.4517702075
125	0.4517031783
126	0.4515923764
127	0.4515070157
128	0.4513533331
129	0.4511892723
130	0.4511154852
131	0.4510409204
132	0.451001472
133	0.4510010071
134	0.4509141728
135	0.4507694056
136	0.4506594023
137	0.4505722513
138	0.4504244882
139	0.4503326669
140	0.4502723952
141	0.4501790722
142	0.4500561834
143	0.4499938809
144	0.4498291262
145	0.4496863249
146	0.4495990408
147	0.4495045332
148	0.4493710437
149	0.4493403372
150	0.4491083697
151	0.44904648
152	0.4489866547
153	0.4489360856
154	0.4489014223
155	0.4487995096
156	0.4487516538
157	0.448703792
158	0.4485796449
159	0.448555813
160	0.4484588944
161	0.4484061946
162	0.4483366714
163	0.4482487686
164	0.4482064912
165	0.4480341383
166	0.4479738223
167	0.4478485324
168	0.4477834114
169	0.4477578532
170	0.4476862954
171	0.4476609517
172	0.4475579427
173	0.4474578282
174	0.4473257923
175	0.4472237849
176	0.4471786642
177	0.4471090804
178	0.4470371125
179	0.4469966899
180	0.4469084403
181	0.4468169142
182	0.4467777565
183	0.4467243941
184	0.4465659692
185	0.4464541781
186	0.4463777994
187	0.4463330413
188	0.4463118853
189	0.4462728237
190	0.446267956
191	0.446216804
192	0.4461227877
193	0.4459719192
194	0.445932861
195	0.4458297959
196	0.445755446
197	0.4457093671
198	0.4456406898
199	0.4455991226
